INSEE;ZRR
1001;0
1002;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1019;0
1021;0
1022;0
1023;0
1024;0
1025;0
1026;0
1027;0
1028;0
1029;0
1030;0
1031;0
1032;0
1033;0
1034;0
1035;0
1036;0
1037;0
1038;0
1039;0
1040;0
1041;0
1042;0
1043;0
1044;0
1045;0
1046;0
1047;0
1049;0
1050;0
1051;0
1052;0
1053;0
1054;0
1056;0
1057;0
1058;0
1060;1
1061;0
1062;0
1063;0
1064;0
1065;0
1066;0
1067;0
1068;0
1069;0
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;0
1080;1
1081;0
1082;0
1083;0
1084;0
1085;0
1087;0
1088;0
1089;0
1090;0
1092;0
1093;0
1094;0
1095;0
1096;0
1098;0
1099;0
1100;0
1101;1
1102;0
1103;0
1104;0
1105;0
1106;0
1107;0
1108;0
1109;0
1110;0
1111;0
1112;1
1113;0
1114;0
1115;0
1116;0
1117;0
1118;0
1121;0
1123;0
1124;1
1125;0
1127;0
1128;1
1129;0
1130;0
1133;0
1134;0
1135;0
1136;0
1138;0
1139;1
1140;0
1141;0
1142;0
1143;0
1145;0
1146;0
1147;0
1148;0
1149;0
1150;0
1151;0
1152;0
1153;0
1155;0
1156;0
1157;0
1158;0
1159;0
1160;0
1162;0
1163;0
1165;0
1166;0
1167;0
1169;0
1170;0
1171;0
1173;0
1174;0
1175;0
1177;0
1179;0
1180;0
1181;0
1183;0
1184;0
1185;0
1187;1
1188;0
1189;0
1190;0
1191;1
1192;0
1193;0
1194;0
1195;0
1196;0
1197;0
1198;0
1199;0
1200;0
1202;0
1203;0
1204;0
1206;1
1207;0
1208;0
1209;0
1210;0
1211;0
1212;1
1213;0
1214;0
1215;0
1216;0
1219;0
1224;0
1225;0
1227;0
1228;0
1229;0
1230;1
1231;0
1232;0
1233;0
1234;0
1235;0
1236;0
1237;0
1238;0
1239;0
1240;0
1241;0
1242;0
1243;0
1244;0
1245;0
1246;0
1247;0
1248;0
1249;0
1250;0
1252;0
1254;0
1255;0
1257;0
1258;0
1259;0
1260;0
1261;0
1262;0
1263;0
1264;0
1265;0
1266;0
1267;0
1268;0
1269;0
1272;0
1273;0
1274;0
1275;0
1276;0
1277;0
1279;0
1280;0
1281;0
1282;1
1283;0
1284;0
1285;0
1286;0
1288;0
1289;0
1290;0
1291;0
1293;0
1294;0
1295;0
1296;0
1297;0
1298;0
1299;0
1301;0
1302;0
1303;0
1304;0
1305;0
1306;0
1307;0
1308;0
1309;0
1310;0
1311;0
1313;0
1314;0
1317;0
1318;0
1319;0
1320;0
1321;0
1322;0
1323;0
1325;0
1328;0
1329;0
1330;0
1331;0
1332;0
1333;0
1334;0
1335;0
1336;0
1337;0
1338;0
1339;0
1342;0
1343;0
1344;0
1345;0
1346;0
1347;0
1348;0
1349;0
1350;0
1351;0
1352;0
1353;0
1354;0
